No,Surname,Other Names,Running Mate Surname,Running Mate Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
1,Bollo,Hezron Awiti,Mwamtoa,Hassan Bakari,1,Mombasa,60,Vibrant Democratic Party,VDP
2,Hassan,Hassan Omar,Shuma,Linda Mariwa,1,Mombasa,12,Wiper Democratic Movement - Kenya,WDM-K
3,Joho,Hassan Ali,Kingi,William Kazungu,1,Mombasa,21,Orange Democratic Movement,ODM
4,Kitsao,Daniel Munga,Mwakama,Said Bakari,1,Mombasa,30,Kenya African Democratic Union - Asili,KADU-ASILI
5,Shahbal,Suleiman Said Saleh,Mwaboza,Anania Mwasambu,1,Mombasa,27,Jubilee Party,JP
6,Dena,James Daniel Gereza,Mulinge,James Nzomo,2,Kwale,IND,Independent,IND
7,Kiperah,Issah Athuman,Mkalla,Simeon Mwero,2,Kwale,21,Orange Democratic Movement,ODM
8,Mgala,Salim Mvurya,Achani,Fatuma Mohamed,2,Kwale,27,Jubilee Party,JP
9,Mwakwere,Chirau Ali,Chigodi,Mwandogo Omari,2,Kwale,12,Wiper Democratic Movement - Kenya,WDM-K
10,Ruwa,Sammy Nyamawi,Malila,Mutuku Isaac,2,Kwale,IND,Independent,IND
11,Kambi,Samwel Kazungu,Mwangovya,Maurine Munyazi,3,Kilifi,30,Kenya African Democratic Union - Asili,KADU-ASILI
12,Kingi,Amason Jeffah,Saburi,Gideon Edmund,3,Kilifi,21,Orange Democratic Movement,ODM
13,Mangi,Kahindi James,Luganje,Esther Bahati,3,Kilifi,IND,Independent,IND
14,Mumba,Benjamin Dadu,Mbura,Joseph Chilumo,3,Kilifi,62,Amani National Congress,ANC
15,Mungaro,Maitha Gideon,Kamto,Kenneth Mwakombo,3,Kilifi,27,Jubilee Party,JP
16,Abdi,Nuh Nassir,Ijema,Rashid Omar,4,Tana River,12,Wiper Democratic Movement - Kenya,WDM-K
17,Algi,Ismael Jillo,Nunow,Issack Hussein,4,Tana River,15,Party for Development and Reform,PDR
18,Dado,Tuneya Hussein,Mohamed,Jire Siyat,4,Tana River,27,Jubilee Party,JP
19,Godhana,Dhadho Gaddae,Salim,Kea Batuyu,4,Tana River,21,Orange Democratic Movement,ODM
20,Mungatan A,Danson Buya,Kuno,Hassan Barhe,4,Tana River,31,Kenya Patriots Party,KPP
