No,Surname,Other Names,County Code,County Name,Constituency Code,Constituency Name,Party Code,Political Party Name,Abbrv,Notes
,Kipkosgei,Joseph Tonui,32,Nakuru,170,Kuresoi South,27,Jubilee Party,JP,No number in gazette
1,Daib,Abdi Mohammed,1,Mombasa,1,Changamwe,27,Jubilee Party,JP,
2,Mittau,Peterson,1,Mombasa,1,Changamwe,IND,Independent,IND,
3,Mpapale,Godfrey Imbali,1,Mombasa,1,Changamwe,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
4,Muange,Daniel Munyao,1,Mombasa,1,Changamwe,12,Wiper Democratic Movement - Kenya,WDM-K,
5,Ngugi,Patrick K,1,Mombasa,1,Changamwe,60,Vibrant Democratic Party,VDP,
6,Shimbwa,Omar Mwinyi,1,Mombasa,1,Changamwe,21,Orange Democratic Movement,ODM,
7,Aloo,Dan Aluora,1,Mombasa,2,Jomvu,IND,Independent,IND,
8,Bady,Bady Twalib,1,Mombasa,2,Jomvu,21,Orange Democratic Movement,ODM,
9,Chande,Saidi Abdalla Saidi,1,Mombasa,2,Jomvu,62,Amani National Congress,ANC,
10,Hezron,Shipeta Mathias,1,Mombasa,2,Jomvu,12,Wiper Democratic Movement - Kenya,WDM-K,
11,Ishmael,Joseph Mutie,1,Mombasa,2,Jomvu,17,Agano Party,AGANO,
12,Kajembe,Mwidani Ramadhan,1,Mombasa,2,Jomvu,IND,Independent,IND,
13,Munyika,Karisa Nzai,1,Mombasa,2,Jomvu,27,Jubilee Party,JP,
14,Mwetha,Leonard Nzioki,1,Mombasa,2,Jomvu,10,Mazingira Greens Party of Kenya,MGPK,
15,Ojukwu,Zacharia Ezra,1,Mombasa,2,Jomvu,IND,Independent,IND,
16,Washenga,Ibrahim Hussein,1,Mombasa,2,Jomvu,46,Frontier Alliance Party,FAP,
17,Wepukhulu,Jonathan Kutosi,1,Mombasa,2,Jomvu,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
18,Wopwoko,Fanuel Chamwoma,1,Mombasa,2,Jomvu,30,Kenya African Democratic Union - Asili,KADU-ASILI,
19,Abdulhakim,Jamallat,1,Mombasa,3,Kisauni,67,Maendeleo Chap Chap Party,MCCP,
20,Bedzimba,Rashid Juma,1,Mombasa,3,Kisauni,21,Orange Democratic Movement,ODM,
21,Juma,Willis Odhiambo,1,Mombasa,3,Kisauni,IND,Independent,IND,
22,Kavingo,Samuel Tuva,1,Mombasa,3,Kisauni,64,United Democratic Party,UDP,
23,Lewah,Francis Runyah,1,Mombasa,3,Kisauni,27,Jubilee Party,JP,
24,Mbogo,Ali Menza,1,Mombasa,3,Kisauni,12,Wiper Democratic Movement - Kenya,WDM-K,
25,Thuku,Tony   Cornelius Gakui,1,Mombasa,3,Kisauni,IND,Independent,IND,
26,Adalla,Simon Odhiambo,1,Mombasa,4,Nyali,70,Green Congress of Kenya,GCK,
27,Bayusuf,Ashraf Hassan Awadh,1,Mombasa,4,Nyali,27,Jubilee Party,JP,
28,Lunani,Kelvin Kwena,1,Mombasa,4,Nyali,62,Amani National Congress,ANC,
29,Macharia,Crispus Waithaka,1,Mombasa,4,Nyali,67,Maendeleo Chap Chap Party,MCCP,
30,Mburu,John Muiruri,1,Mombasa,4,Nyali,8,Restore and Build Kenya,RBK,
31,Mcharo,John Charles,1,Mombasa,4,Nyali,12,Wiper Democratic Movement - Kenya,WDM-K,
32,Mohamed,Mohamed Ali,1,Mombasa,4,Nyali,IND,Independent,IND,
33,Muthoka,David Nyamai,1,Mombasa,4,Nyali,IND,Independent,IND,
34,Mwarandu,Ferdinand Katana C,1,Mombasa,4,Nyali,30,Kenya African Democratic Union - Asili,KADU-ASILI,
35,Odhiambo,Millicent L  Atieno,1,Mombasa,4,Nyali,60,Vibrant Democratic Party,VDP,
36,Onyancha,John Momanyi,1,Mombasa,4,Nyali,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
37,Otieno,Japheth Marine,1,Mombasa,4,Nyali,IND,Independent,IND,
38,Ouma,Geoffrey Ochieng,1,Mombasa,4,Nyali,IND,Independent,IND,
39,Salim,Said Abdalla,1,Mombasa,4,Nyali,21,Orange Democratic Movement,ODM,
40,Domoko,Khamis Ali,1,Mombasa,5,Likoni,IND,Independent,IND,
41,Ganiko,Waziri Mohamed,1,Mombasa,5,Likoni,IND,Independent,IND,
42,Mboko,Mishi Juma Khamisi,1,Mombasa,5,Likoni,21,Orange Democratic Movement,ODM,
43,Mwahima,Mwalimu Masudi,1,Mombasa,5,Likoni,27,Jubilee Party,JP,
44,Rashid,Suleman Mgala,1,Mombasa,5,Likoni,60,Vibrant Democratic Party,VDP,
45,Shakombo,Suleman Rashid,1,Mombasa,5,Likoni,12,Wiper Democratic Movement - Kenya,WDM-K,
46,Waore,Bernard Odhiambo,1,Mombasa,5,Likoni,62,Amani National Congress,ANC,
47,Ahmed,Ahmed Hood,1,Mombasa,6,Mvita,40,New Democrats,ND,
48,Nassir,Abdullswamad Sheriff,1,Mombasa,6,Mvita,21,Orange Democratic Movement,ODM,
49,Parikh,Rishi Arun,1,Mombasa,6,Mvita,IND,Independent,IND,
50,Shallo,Omar Mahmud Mohamed,1,Mombasa,6,Mvita,27,Jubilee Party,JP,
51,Shekue,Shariff Ali,1,Mombasa,6,Mvita,33,Kenya African National Union,KANU,
52,Wekoma,Patrick Alfred,1,Mombasa,6,Mvita,1,National Rainbow Coalition - Kenya,"NARC-
KENYA",
53,Boga,Omari Idd,2,Kwale,7,Msambweni,IND,Independent,IND,
54,Kilalo,Bashiri Mohamed,2,Kwale,7,Msambweni,27,Jubilee Party,JP,
55,Mwakulonda,Ali Hassani,2,Kwale,7,Msambweni,12,Wiper Democratic Movement - Kenya,WDM-K,
56,Mwero,Dicky Chikoza,2,Kwale,7,Msambweni,IND,Independent,IND,
57,Ramadhani,Suleiman Dori,2,Kwale,7,Msambweni,21,Orange Democratic Movement,ODM,
58,Wamwachai,Marere Mwarapayo,2,Kwale,7,Msambweni,2,The National Vision Party,NVP,
59,Kassimu,Rusoire Juma,2,Kwale,8,Lungalunga,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
60,Kitonga,Joseph Kithuku Muki,2,Kwale,8,Lungalunga,IND,Independent,IND,
61,Mbuli,Omari Nyanje,2,Kwale,8,Lungalunga,30,Kenya African Democratic Union - Asili,KADU-ASILI,
62,Mwadzaya,Said Mbovu Hassan Wanini,2,Kwale,8,Lungalunga,42,Shirikisho Party of Kenya,SPK,
63,Mwashetani,Khatib Abdallah,2,Kwale,8,Lungalunga,27,Jubilee Party,JP,
64,Mwilu,Benson Mutisya,2,Kwale,8,Lungalunga,67,Maendeleo Chap Chap Party,MCCP,
65,Ngome,Stephen Mkaila,2,Kwale,8,Lungalunga,62,Amani National Congress,ANC,
66,Pojjo,Kassim Mwapojjo,2,Kwale,8,Lungalunga,60,Vibrant Democratic Party,VDP,
67,Tsuma,Murabu Chaka,2,Kwale,8,Lungalunga,33,Kenya African National Union,KANU,
68,Zonga,Omar Mbwana,2,Kwale,8,Lungalunga,21,Orange Democratic Movement,ODM,
69,Kitambi,Mwalimu Digore,2,Kwale,9,Matuga,27,Jubilee Party,JP,
70,Mwakileo,Masudi Ali,2,Kwale,9,Matuga,42,Shirikisho Party of Kenya,SPK,
71,Mwanyoha,Hassan Mohamed,2,Kwale,9,Matuga,21,Orange Democratic Movement,ODM,
72,Mwarora,Athman Salim,2,Kwale,9,Matuga,12,Wiper Democratic Movement - Kenya,WDM-K,
73,Tandaza,Kassim Sawa,2,Kwale,9,Matuga,62,Amani National Congress,ANC,
74,Kamanza,Seth Mwatela,2,Kwale,10,Kinango,IND,Independent,IND,
75,Kitula,Richard Kang'ela,2,Kwale,10,Kinango,IND,Independent,IND,
76,Nuri,Nuri Katana,2,Kwale,10,Kinango,13,Democratic Party of Kenya,DP,
77,Rai,Samuel Gonzi,2,Kwale,10,Kinango,27,Jubilee Party,JP,
78,Tayari,Benjamin Dalu Stephen,2,Kwale,10,Kinango,21,Orange Democratic Movement,ODM,
79,Baya,Owen Yaa,3,Kilifi,11,Kilifi North,21,Orange Democratic Movement,ODM,
80,Chai,Eliud Kalama,3,Kilifi,11,Kilifi North,12,Wiper Democratic Movement - Kenya,WDM-K,
81,Kazungu,Anthony Kingi,3,Kilifi,11,Kilifi North,72,Movement for Democracy and Growth,MDG,
82,Mwamuye,Edward Salehe,3,Kilifi,11,Kilifi North,62,Amani National Congress,ANC,
83,Mweni,Pascal Maitha,3,Kilifi,11,Kilifi North,30,Kenya African Democratic Union - Asili,KADU-ASILI,
84,Ziro,Esther Kache,3,Kilifi,11,Kilifi North,27,Jubilee Party,JP,
85,Jefwa,Maalim Khamisi,3,Kilifi,12,Kilifi South,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA,
