No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
1,Abdalla,Amina,1,Mombasa,27,Jubilee Party,JP
2,Lubalo,Elizabeth Lydia,1,Mombasa,IND,Independent,IND
3,Makau,Serah Mwikali,1,Mombasa,60,Vibrant Democratic Party,VDP
4,Maweu,Mercy Mbithe,1,Mombasa,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
5,Mohamed,Asha Hussein,1,Mombasa,21,Orange Democratic Movement,ODM
6,Mohamed,Zamzam Chimba,1,Mombasa,12,Wiper Democratic Movement - Kenya,WDM-K
7,Mohammed,Halima Anwar,1,Mombasa,67,Maendeleo Chap Chap Party,MCCP
8,Muhsin,Khadija Abdalla,1,Mombasa,IND,Independent,IND
9,Obura,Zipporah Tabu,1,Mombasa,62,Amani National Congress,ANC
10,Rama,Afiya Mkuwewa,1,Mombasa,IND,Independent,IND
11,Chidzuga,Zainab Kalekye,2,Kwale,27,Jubilee Party,JP
12,Hassan,Zuleikha Ju Ma,2,Kwale,21,Orange Democratic Movement,ODM
13,Mburu,Ann Wanjiko,2,Kwale,67,Maendeleo Chap Chap Party,MCCP
14,Mwapheku,Mwanalima,2,Kwale,33,Kenya African National Union,KANU
15,Tabwara,Fatuma Suleiman,2,Kwale,15,Party for Development and Reform,PDR
16,Athman,Ummi Kulthum Amin,3,Kilifi,IND,Independent,IND
17,Baya,Juliet Riziki,3,Kilifi,IND,Independent,IND
18,Bebora,Josephine Chizi,3,Kilifi,33,Kenya African National Union,KANU
19,Charo,Gertrude Bahati,3,Kilifi,49,Federal Party of Kenya,FPK
20,Kambi,Witness Nyevu,3,Kilifi,30,Kenya African Democratic Union - Asili,KADU-ASILI
21,Kitsao,Betty Medza Munga,3,Kilifi,IND,Independent,IND
22,Mnyazi,Amina Laura,3,Kilifi,27,Jubilee Party,JP
23,Mungah,Priscillar Nzikwa,3,Kilifi,12,Wiper Democratic Movement - Kenya,WDM-K
24,Mwanyanje,Gertrude Mbeyu,3,Kilifi,21,Orange Democratic Movement,ODM
25,Abdullahi,Amina Nuria,4,Tana River,33,Kenya African National Union,KANU
26,Abio,Alfelt Mumbo,4,Tana River,21,Orange Democratic Movement,ODM
27,Duri,Halima Ware,4,Tana River,27,Jubilee Party,JP
28,Hadida,Melisa Nkondo,4,Tana River,62,Amani National Congress,ANC
29,Hassan,Rehema,4,Tana River,67,Maendeleo Chap Chap Party,MCCP
30,Hussein,Sadia Sango,4,Tana River,12,Wiper Democratic Movement - Kenya,WDM-K
31,Jelle,Maryanroon Mohamed,4,Tana River,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
32,Koro,Saddia Halima,4,Tana River,1,National Rainbow Coalition - Kenya,"NARC-
KENYA"
33,Mohamed,Rukia Abdi,4,Tana River,31,Kenya Patriots Party,KPP
34,Soba,Zamzam Zainab,4,Tana River,10,Mazingira Greens Party of Kenya,MGPK
35,Abdalla,Esha Nizar,5,Lamu,21,Orange Democratic Movement,ODM
36,Abdalla,Mariyam Abubakar,5,Lamu,67,Maendeleo Chap Chap Party,MCCP
37,Marubu,Monicah Muthoni,5,Lamu,IND,Independent,IND
38,Mohamed,Shakila Abdalla,5,Lamu,12,Wiper Democratic Movement - Kenya,WDM-K
39,Obo,Ruweida Mohamed,5,Lamu,27,Jubilee Party,JP
40,Kisochi,Rosina Mghoi,6,Taita Taveta,32,Social Democratic Party of Kenya,SDP
41,Mizighi,Lydia Haika Mnene,6,Taita Taveta,27,Jubilee Party,JP
42,Mwadime,Pricilar,6,Taita Taveta,12,Wiper Democratic Movement - Kenya,WDM-K
43,Mwakio,Hope Anisa Sanguli,6,Taita Taveta,21,Orange Democratic Movement,ODM
44,Abass,Fatuma Kinsi,7,Garissa,21,Orange Democratic Movement,ODM
45,Abdikadir,Maryan Sheikh,7,Garissa,76,Thirdway Alliance Kenya,TAK
46,Gure,Anab Mohamed,7,Garissa,27,Jubilee Party,JP
47,Gure,Shukra Hussein,7,Garissa,12,Wiper Democratic Movement - Kenya,WDM-K
48,Keinan,Amina Mohamed,7,Garissa,33,Kenya African National Union,KANU
49,Sahal,Ebla Europe,7,Garissa,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
50,Ali,Fatuma Gedi,8,Wajir,15,Party for Development and Reform,PDR
51,Bulle,Barey Diis,8,Wajir,21,Orange Democratic Movement,ODM
52,Haji,Katra Mowlid,8,Wajir,31,Kenya Patriots Party,KPP
53,Hussein,Oray Adan,8,Wajir,33,Kenya African National Union,KANU
54,Kahiye,Ubah Abdi,8,Wajir,76,Thirdway Alliance Kenya,TAK
55,Maalim,Farhiya Abdille,8,Wajir,49,Federal Party of Kenya,FPK
56,Mohamud,Halima Abdille,8,Wajir,27,Jubilee Party,JP
57,Omar,Halima Ali,8,Wajir,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
58,Ahmed,Amina Hassan,9,Mandera,15,Party for Development and Reform,PDR
59,Hassan,Amina Gedow,9,Mandera,48,Economic Freedom Party,EFP
60,Issak,Ethila Mohamud,9,Mandera,27,Jubilee Party,JP
61,Abdi,Farhiya Yarow,10,Marsabit,13,Democratic Party of Kenya,DP
62,Adan,Safia Sheikh,10,Marsabit,27,Jubilee Party,JP
63,Halake,Amina Guyo,10,Marsabit,21,Orange Democratic Movement,ODM
64,Ibren,Nasra Ibrahim,10,Marsabit,46,Frontier Alliance Party,FAP
65,Pantoren,Elizabeth Pius,10,Marsabit,33,Kenya African National Union,KANU
66,Seyere,Christine Koreya,10,Marsabit,67,Maendeleo Chap Chap Party,MCCP
67,Shama,Bernadetta Okotu,10,Marsabit,14,Party of National Unity,PNU
68,Abdirahman,Nasibo Hawa,11,Isiolo,12,Wiper Democratic Movement - Kenya,WDM-K
69,Ali,Tiyah Galgalo,11,Isiolo,IND,Independent,IND
70,Jaldesa,Rehema Dida,11,Isiolo,27,Jubilee Party,JP
71,Thambu,Betsy Kaari,11,Isiolo,14,Party of National Unity,PNU
72,Isaiah,Catherine Kagwiria,12,Meru,67,Maendeleo Chap Chap Party,MCCP
73,Kailemia,Elizabeth Karambu,12,Meru,14,Party of National Unity,PNU
74,Kajuju,Florence,12,Meru,27,Jubilee Party,JP
75,Kinya,Betsy,12,Meru,21,Orange Democratic Movement,ODM
76,Kinyua,Susan K M,12,Meru,33,Kenya African National Union,KANU
77,Mwangaza,Kawira,12,Meru,IND,Independent,IND
78,Kambanja,Penina Nkamba Murungi,13,Tharaka Nithi,IND,Independent,IND
79,Kaune,Floric Kageni,13,Tharaka Nithi,2,The National Vision Party,NVP
80,Kithinji,Sarah Karimi,13,Tharaka Nithi,21,Orange Democratic Movement,ODM
81,Mbungu,Tabitha Maugi,13,Tharaka Nithi,67,Maendeleo Chap Chap Party,MCCP
82,Nyaga,Beatrice Nkatha,13,Tharaka Nithi,27,Jubilee Party,JP
83,Gitari,Monica Cyombua,14,Embu,IND,Independent,IND
84,Grace,Violet Mukami,14,Embu,17,Agano Party,AGANO
85,Kaleli,Risper Kiluu,14,Embu,IND,Independent,IND
86,Mitaru,Rose Rwamba,14,Embu,IND,Independent,IND
87,Muchungu,Dorothy Nditi,14,Embu,67,Maendeleo Chap Chap Party,MCCP
88,Mugo,Nicera Njoki,14,Embu,IND,Independent,IND
89,Mutua,Mary Ndunge,14,Embu,21,Orange Democratic Movement,ODM
90,Njeru,Sophia Muthoni,14,Embu,14,Party of National Unity,PNU
91,Njiru,Jane Wanjuki,14,Embu,27,Jubilee Party,JP
92,Nthiga,Rosemary Wanja,14,Embu,IND,Independent,IND
93,Nyaga,Susan Mbuya,14,Embu,33,Kenya African National Union,KANU
94,Wambura,Josephine,14,Embu,13,Democratic Party of Kenya,DP
95,Kasalu,Irene Muthoni,15,Kitui,12,Wiper Democratic Movement - Kenya,WDM-K
96,Khamisi,Sofia,15,Kitui,27,Jubilee Party,JP
97,Kibati,Jane Mwende Kimuyu,15,Kitui,IND,Independent,IND
98,Muthengi,Halima Mbathi,15,Kitui,73,Alternative Leadership Party of Kenya,ALPK
99,Mwanzia,Nellie Ithae,15,Kitui,67,Maendeleo Chap Chap Party,MCCP
100,Muthama,Agnes Kavindu Mbuku,16,Machakos,27,Jubilee Party,JP
101,Kamene,Joyce,16,Machakos,12,Wiper Democratic Movement - Kenya,WDM-K
102,Maura,Benta Anyango,16,Machakos,17,Agano Party,AGANO
103,Musyoka,Susan Mbinya,16,Machakos,IND,Independent,IND
104,Musyoki,Victoria Ndunge,16,Machakos,33,Kenya African National Union,KANU
105,Mutinda,Francisca,16,Machakos,67,Maendeleo Chap Chap Party,MCCP
106,Ndeti,Jane Mutile Cosmas,16,Machakos,36,Chama Cha Uzalendo,CCU
107,Ndunda,Ritah Ndunge,16,Machakos,IND,Independent,IND
108,Kihumba,Jacinta Wanza,17,Makueni,40,New Democrats,ND
109,Kitundu,Jane Wavinya Maingi,17,Makueni,3,The Labour Party of Kenya,LPK
110,Kyalo,Eunice Munanie,17,Makueni,27,Jubilee Party,JP
111,Mulei,Margaret Mumbua,17,Makueni,7,Party of Independent Candidates of Kenya,PICK
112,Mumo,Rose Museo,17,Makueni,12,Wiper Democratic Movement - Kenya,WDM-K
113,Mwewa,Grace Mueni Francis,17,Makueni,29,National Rainbow Coalition,NARC
114,Nzioka,Maureen Wavinya,17,Makueni,33,Kenya African National Union,KANU
115,Gitau,Faith Wairimu,18,Nyandarua,27,Jubilee Party,JP
116,Maina,Esther Wambui,18,Nyandarua,IND,Independent,IND
117,Mucheke,Monicah Nyambura,18,Nyandarua,67,Maendeleo Chap Chap Party,MCCP
118,Gachimu,Joyce Njoki,19,Nyeri,65,Diligence Development Alliance,DDA
119,Kanyua,Priscilla Nyokabi,19,Nyeri,IND,Independent,IND
120,Mwangi,Alice Wangari,19,Nyeri,67,Maendeleo Chap Chap Party,MCCP
121,Mwathe,Jane Susan Gathii,19,Nyeri,1,National Rainbow Coalition - Kenya,"NARC-
KENYA"
122,Ndungu,Cecilia Wangechi,19,Nyeri,14,Party of National Unity,PNU
123,Wachira,Rahab Mukami,19,Nyeri,27,Jubilee Party,JP
124,Ngirici,Purity Wangui,20,Kirinyaga,27,Jubilee Party,JP
125,Ngunyi,Beth Wambura,20,Kirinyaga,IND,Independent,IND
126,Njuguna,Winnie Karimi,20,Kirinyaga,IND,Independent,IND
127,Chege,Maitu Sabina Wanjiru,21,Murang'a,27,Jubilee Party,JP
128,Nyoike,Evelyn Waithira,21,Murang'a,IND,Independent,IND
129,Chege,Jane Wanjiru,22,Kiambu,IND,Independent,IND
130,Ndung'u,Lydia Njeri,22,Kiambu,17,Agano Party,AGANO
131,Wamuchomba,Gathoni,22,Kiambu,27,Jubilee Party,JP
132,Wandia,Joyce Wanjiru,22,Kiambu,14,Party of National Unity,PNU
133,Abenyo,Jecinta Ngasike,23,Turkana,IND,Independent,IND
134,Emanikor,Joyce Akai,23,Turkana,27,Jubilee Party,JP
135,Lokuruka,Pauline Akai,23,Turkana,21,Orange Democratic Movement,ODM
136,Loyor,Rhoda Arupe,23,Turkana,IND,Independent,IND
137,Nakusa,Beatrice Asukul,23,Turkana,54,Chama Cha Mashinani,CCM
138,Namulen,Cicilia Nangetei,23,Turkana,67,Maendeleo Chap Chap Party,MCCP
139,Chang'orok,Regina,24,West Pokot,54,Chama Cha Mashinani,CCM
140,Chongorio,Night Cherop,24,West Pokot,IND,Independent,IND
141,Clement,Bridgid Florence,24,West Pokot,62,Amani National Congress,ANC
142,Lokichu,Teresa Peter,24,West Pokot,14,Party of National Unity,PNU
143,Mukenyang,Catherine Chepkemoi,24,West Pokot,33,Kenya African National Union,KANU
144,Partany,Emily Chesang,24,West Pokot,2,The National Vision Party,NVP
145,Plapan,Lilian Janice,24,West Pokot,21,Orange Democratic Movement,ODM
146,Rikiriko,Mary,24,West Pokot,67,Maendeleo Chap Chap Party,MCCP
147,Rotino,Rodah Chepkopus,24,West Pokot,IND,Independent,IND
148,Tomitom,Lilian Cheptoo,24,West Pokot,27,Jubilee Party,JP
149,Lengupae,Rebecca Moira,25,Samburu,27,Jubilee Party,JP
150,Lenguris,Pauline,25,Samburu,21,Orange Democratic Movement,ODM
151,Leseeto,Jespa,25,Samburu,67,Maendeleo Chap Chap Party,MCCP
152,Leshoomo,Maison,25,Samburu,33,Kenya African National Union,KANU
153,Selina,Akiru E,25,Samburu,14,Party of National Unity,PNU
154,Wanyama,Janet Nangabo,26,Trans Nzoia,27,Jubilee Party,JP
155,Bor,Edith Chepkoech,26,Trans Nzoia,33,Kenya African National Union,KANU
156,Koli,Esther Olenja,26,Trans Nzoia,21,Orange Democratic Movement,ODM
157,Mikis,Dorothy Cherop,26,Trans Nzoia,IND,Independent,IND
158,Mulati,Gladys Nekesa,26,Trans Nzoia,2,The National Vision Party,NVP
159,Shamala,Immaculate Khamusa,26,Trans Nzoia,62,Amani National Congress,ANC
160,Soita,Christine,26,Trans Nzoia,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
161,Chepkok,Moira Jepkorir,27,Uasin Gishu,62,Amani National Congress,ANC
162,Cheruto,Josephine,27,Uasin Gishu,33,Kenya African National Union,KANU
163,Kipkemoi,Grace Kendagor,27,Uasin Gishu,67,Maendeleo Chap Chap Party,MCCP
164,Lelei,Rael Chebichii,27,Uasin Gishu,IND,Independent,IND
165,Shollei,Gladys Jepkosgei-boss,27,Uasin Gishu,27,Jubilee Party,JP
166,Chebaibai,Jane Jepkorir Kiptoo,28,Elgeyo Marakwet,27,Jubilee Party,JP
167,Chebet,Susan Kipketer,28,Elgeyo Marakwet,IND,Independent,IND
168,Cheruiyot,Kobilo Jepkosgei,28,Elgeyo Marakwet,15,Party for Development and Reform,PDR
169,Korat,Florence Jepkogei Boinett,28,Elgeyo Marakwet,IND,Independent,IND
170,Lingatom,Elizabeth Kipkiror,28,Elgeyo Marakwet,21,Orange Democratic Movement,ODM
171,Yano,Truphena Jepkemoi,28,Elgeyo Marakwet,33,Kenya African National Union,KANU
172,Chebet,Jane,29,Nandi,33,Kenya African National Union,KANU
173,Nandoya,Nolega Valtine,29,Nandi,25,Progressive Party of Kenya,PPOK
174,Tum,Tecla Chebet,29,Nandi,27,Jubilee Party,JP
175,Cheboiwo,Kaptuiya,30,Baringo,IND,Independent,IND
176,Cheruiyot,Gladwell Jesire,30,Baringo,33,Kenya African National Union,KANU
177,Kimosop,Susan Chepkurui Chesiyna,30,Baringo,27,Jubilee Party,JP
178,Kiptui,Grace Jemutai,30,Baringo,IND,Independent,IND
179,Torono,Naomi,30,Baringo,54,Chama Cha Mashinani,CCM
180,Apollos,Jane Agnes Wanjira,31,Laikipia,IND,Independent,IND
181,Kuiyukia,Esther Wanjiru,31,Laikipia,67,Maendeleo Chap Chap Party,MCCP
182,Wanjau,Mary Ngima,31,Laikipia,IND,Independent,IND
183,Waruguru,Catherine Wanjiku,31,Laikipia,27,Jubilee Party,JP
184,Githinji,Agnes Njambi,32,Nakuru,IND,Independent,IND
185,Kamau,Janet Wangui,32,Nakuru,2,The National Vision Party,NVP
