No,Surname,Other Names,County Code,County Name,Party Code,Political Party Name,Abbrv
1,Bajaber,Yasser Ali Sheikh,1,Mombasa,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
2,Chome,Onesmas Habel,1,Mombasa,42,Shirikisho Party of Kenya,SPK
3,Fondo,Florence Wawuda,1,Mombasa,60,Vibrant Democratic Party,VDP
4,Katana,Hazel Nyamoki,1,Mombasa,27,Jubilee Party,JP
5,Kisilu,Lawrence Kimeu,1,Mombasa,12,Wiper Democratic Movement - Kenya,WDM-K
6,Mohammed,Mohamed Abbas,1,Mombasa,IND,Independent,IND
7,Mwaguya,Hamisi Mashobo,1,Mombasa,IND,Independent,IND
8,Mwinyihaji,Mohamed Faki,1,Mombasa,21,Orange Democratic Movement,ODM
9,Oduor,Jabess Mdhai,1,Mombasa,IND,Independent,IND
10,Yaa,Stephen Mure,1,Mombasa,67,Maendeleo Chap Chap Party,MCCP
11,Boy,Issa Juma,2,Kwale,21,Orange Democratic Movement,ODM
12,Bulushi,Ibrahim Mohamed Haji,2,Kwale,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
13,Hassan,Nuru Lula,2,Kwale,73,Alternative Leadership Party of Kenya,ALPK
14,Matano,Stanley Mwendar,2,Kwale,12,Wiper Democratic Movement - Kenya,WDM-K
15,Muia,Antony Mulinge,2,Kwale,75,Empowerment and Liberation Party,ELP
16,Muthoka,Japheth Nzesya,2,Kwale,67,Maendeleo Chap Chap Party,MCCP
17,Mwero,Kombo,2,Kwale,30,Kenya African Democratic Union - Asili,KADU-ASILI
18,Mzinga,Hassan Rashid,2,Kwale,33,Kenya African National Union,KANU
19,Ngozi,Abdallah Jumaa,2,Kwale,13,Democratic Party of Kenya,DP
20,Ruga,Mshenga Vuyaa,2,Kwale,27,Jubilee Party,JP
21,Waziri,Omari Mwawaka,2,Kwale,5,Chama Mwangaza Daima,CMD
22,Chigiri,Charles Dunga,3,Kilifi,12,Wiper Democratic Movement - Kenya,WDM-K
23,Madzayo,Stewart Mwachiru Shadrack,3,Kilifi,21,Orange Democratic Movement,ODM
24,Mweni,Lucas Baya Maitha,3,Kilifi,30,Kenya African Democratic Union - Asili,KADU-ASILI
25,Nduryah,Emmanuel Kadenge,3,Kilifi,64,United Democratic Party,UDP
26,Nyale,Kennedy James,3,Kilifi,27,Jubilee Party,JP
27,Barako,Hantiro Abdul Rahman,4,Tana River,1,National Rainbow Coalition - Kenya,"NARC-
KENYA"
28,Bule,Ali Abdi,4,Tana River,33,Kenya African National Union,KANU
29,Karanja,John Mwangi,4,Tana River,2,The National Vision Party,NVP
30,Komora,Omar Kofa,4,Tana River,23,Forum for Restoration of Democracy - Kenya,FORD-KENYA
31,Madhobe,Dubow Bile,4,Tana River,15,Party for Development and Reform,PDR
32,Maro,Mohamed Odha,4,Tana River,31,Kenya Patriots Party,KPP
33,Nkaduda,Michael Justin,4,Tana River,21,Orange Democratic Movement,ODM
